, 1
Wilhuff_Tarkin, 1
Darth_Bane, 1
Qui-Gon_Jinn, 1
Akar-Deshu, 1
Jedi_General, 1
Advanced_Recon_Force_trooper, 2
Assassin, 2
Aqua_droid, 2
Advanced_Recon_Commando/Legends, 2
Havoc_(ARC_trooper), 2
Soldier, 2
Military_rank/Canon, 2
CT-1409, 2
Clone_cadet, 2
Even_Piell, 2
CC-5052, 2
Techno_Union, 2
Clone_Commander, 2
Jun_Sato, 2
Wedge_Antilles, 2
Prakas, 2
Gradd, 2
Karbin, 2
Igar, 2
Korr_Sella, 2
Kyrsta_Agate, 2
Brom_Titus, 2
Riff_Tamson, 2
Narra, 2
Commander/Legends, 2
Ciena_Ree, 2
Braylen_Stramm, 2
Bob_Hudsol, 2
Tiaan_Jerjerrod, 2
Poe_Dameron, 2
Knox, 2
Geonosian, 2
Kilian, 2
Tiggs_Leo, 2
Queen, 2
Nano-droid, 2
Bossk, 2
Quinlan_Vos, 2
Duel_on_Tatooine, 2
C-3PO, 2
Saesee_Tiin, 2
Rako_Hardeen, 2
Castas, 2
Moralo_Eval, 2
Fong_Do, 2
Adi_Gallia, 2
Force-sensitive/Legends, 2
Variable_Geometry_Self-Propelled_Battle_Droid,_Mark_I, 2
Unidentified_clone_naval_officer_(Endurance), 2
Sinker, 2
Stormtrooper, 2
Kit_Fisto, 2
Aurra_Sing, 2
Coburn, 2
Kav_Bayons, 2
Festival_of_Light, 2
Jackar_Bowmani, 2
Jinx, 2
Eeth_Koth, 2
O-Mer, 2
Zygerrian_Slave_Empire, 2
Warthog, 2
Clone_Captain, 2
Clone_commando, 2
CT-5597, 2
Sith_Master, 2
Colt, 2
Boost, 2
Trooper, 2
Boba_Fett, 2
Clan_Wren, 2
Plo_Koon/Legends, 2
Noble, 2
Clone_trooper_pilot, 2
Jogurner, 2
CT-411, 2
Chubor, 2
Halsey, 2
CC-3636, 2
B1-series_rocket_battle_droid, 2
Marksman-H_training_remote, 2
Chuang%27s_apprentice, 2
Acklay, 2
Naboo_Royal_Starship, 2
Boga, 2
Peppi_Bow, 2
Assassin_droid, 2
Lux_Bonteri, 2
Mas_Amedda, 2
Denetrius_Vidian, 2
Count/Legends, 2
Ursa_Wren, 2
Pilot, 2
Protocol_droid, 2
Shara_Bey, 2
Guavian_Death_Gang, 2
Bib_Fortuna, 2
Jaum, 2
Caluan_Ematt, 2
Irving_Boys, 2
Jan_Dodonna, 2
Ewok, 2
Sakas, 2
Fleet_Admiral/Canon, 2
Han_Solo, 2
Gannis_Ducain, 2
Chewbacca/Legends, 2
Temmin_Wexley, 2
Domm_Korgale, 2
Jom_Barell, 2
Viper_probe_droid, 2
Jas_Emari, 2
Sergeant, 2
Hove, 2
Phasma, 2
Bright_Tree_tribe, 2
Lando_Calrissian, 2
Overseer_(Galactic_Empire), 2
Hrrgn, 2
Hunter, 2
Chong, 2
Tera_Sinube, 2
Yaddle, 2
Boomer_(astromech_droid), 2
Rancor, 2
Harter_Kalonia, 2
Lieutenant, 2
Smuggler, 2
Cherff_Maota, 2
Grakkus, 2
Bolla_Ropal, 2
Jaum%27s_wheeled_battle_droid, 2
Cin_Drallig, 2
Norra_Wexley, 2
Nien_Nunb, 2
Jedi_Master/Legends, 2
Grand_Moff, 2
Oppo_Rancisis, 2
Uvell, 2
Pong_Krell, 2
Tiplee, 2
Agen_Kolar, 2
Stass_Allie, 2
Yarael_Poof, 2
Coleman_Kcaj, 2
Aayla_Secura, 2
Ima-Gun_Di, 2
Artist, 2
Neeyutnee, 2
Jamillia, 2
Otoh_Gunga, 2
Padm%C3%A9_Amidala/Legends, 2
Shahan_Alama, 2
Rugor_Nass/Canon, 2
IG-86_sentinel_droid, 2
Lott_Dod, 2
Shmi_Skywalker_Lars, 2
Nix_Card, 2
J-type_diplomatic_barge, 2
Angel, 2
Nexu, 2
Watto, 2
Royal_House_of_Naboo, 2
Tan_Divo, 2
Embo, 2
Gume_Saam, 2
Mee_Deechi, 2
Naboo_star_skiff, 2
Royal_Naboo_Security_Forces, 2
ASN-121, 2
Chata_Hyoki, 2
Unidentified_Sundari_school_superintendent, 2
Death_Watch, 2
Demolition_droid, 2
Memory_wipe, 2
Inspector, 2
Theed, 2
Cad_Bane, 2
Almec, 2
Doctor, 2
Nuvo_Vindi%27s_laboratory, 2
Chairman, 2
Rush_Clovis, 2
Junior_Representative, 2
Lolo_Purs, 2
H-type_Nubian_yacht, 2
Siddiq, 2
Palace_Guard_(Naboo), 2
Ruwee_Naberrie, 2
LEP_servant_droid, 2
Prince, 2
Boss, 2
Unidentified_T-series_tactical_droid_(Naboo), 2
Camp_Four, 2
New_Mandalorians, 2
BD-3000_luxury_droid, 2
Separatist_Senate, 2
Jerec_(Deputy_Minister), 2
Archduke, 2
Wee_Dunn, 2
Commodex_Tahn, 2
Jaybo_Hood, 2
Grand_Hutt_Council, 2
Black_market, 2
Monarch_of_Naboo, 2
Death_Watch_bomber/Canon, 2
Great_Grass_Plains, 2
Sy_Snootles, 2
Bogey_(Kwazel_Maw), 2
Jawa, 2
Prime_Minister, 2
Mother_(title), 2
Darth_Plagueis, 2
Boil, 2
Jen_June, 2
Taun_We, 2
Chagrian, 2
Mercenary, 2
Savage_Opress, 2
Miraj_Scintel, 2
Joonas_Suotamo, 2
IG-100_MagnaGuard, 2
IT-O_Interrogator, 2
Wat_Tambor, 2
Lozen_Tolruck, 2
Mama, 2
Mister_Bones, 2
Steela_Gerrera, 2
Kes_Dameron, 2
Tal_Merrik, 2
Beru_Whitesun_Lars, 2
Shadow_Collective, 2
Crime_lord, 2
Besalisk, 2
Rumi_Paramita, 2
Alec_Guinness, 2
Sera_(Carnelion_IV), 2
Anooba, 2
Naboo_Royal_Handmaidens, 2
Tusken_Raider, 2
Darts_D%27Nar, 2
Moisture_farmer, 2
CC-2224, 2
Sniper, 2
TX-20, 2
Nightbrothers, 2
Self-destruct_mechanism, 2
T-series_tactical_droid, 2
Riyo_Chuchi, 2
Satine_Kryze, 2
Viscus, 2
Ramsis_Dendup, 2
Waxer, 2
Gungan_bongo_submarine, 2
Kharrus, 2
Osi_Sobeck, 2
Pablo, 2
Obi-Wan_Kenobi/Legends, 2
Gundark, 2
Black_Sun, 2
Governor, 2
Droid_tri-fighter, 2
Breha_Organa, 2
Lom_Pyke, 2
Dexter_Jettster, 2
Father_(Mortis), 2
Endente, 2
Saw_Gerrera, 2
Atai_Molec, 2
Gardulla_Besadii_the_Elder, 2
Son, 2
B1_battle_droid, 2
Training_droid_(Jedi_Temple), 2
Pre_Vizsla, 2
Bo-Katan_Kryze, 2
Whorm_Loathsom, 2
Karina_the_Great_(Clone_Wars), 2
Numa, 2
Talzin, 2
Trench, 2
Captivator_(droid), 2
Daughter, 2
Torul_Blom, 2
Sionver_Boll, 2
Slick, 2
Nute_Gunray, 2
Ohnaka_Gang, 2
Mon_Mothma, 2
Zam_Wesell, 2
Amani, 2
Owen_Lars, 2
Jar_Jar_Binks, 2
Dewback, 2
Chi_Cho, 2
Clawdite, 2
Agruss, 2
Duke, 2
Nuvo_Vindi, 2
Vice_Chair, 2
Chief_Medical_Scientist, 2
Commando, 2
BX-series_droid_commando, 2
Doom, 2
DSD1_dwarf_spider_droid, 2
Infantry, 2
Super_battle_droid_rocket_trooper, 2
Head_of_State, 2
Roggwart, 2
Daka, 2
Denal, 2
Cylo, 2
Roos_Tarpals, 2
EV-A4-D, 2
Tey-Zuka, 2
Nahdar_Vebb, 2
Grievous/Legends, 2
Jedi_hunter, 2
Gold_Squadron_(Rebel_Alliance), 2
Kleeve, 2
Falleen, 2
Rackham_Sear, 2
San_Hill, 2
Super_tactical_droid, 2
Hyena-class_bomber, 2
Army_of_the_Dead, 2
Gor, 2
Coburn_Sear, 2
Luce, 2
Cyborg, 2
R3-S6, 2
Supreme_Commander, 2
Poggle_the_Lesser, 2
Hutt_Clan, 2
Jedi_healer, 2
Barriss_Offee/Legends, 2
Onaconda_Farr, 2
Tutso_Mara, 2
Sab%C3%A9, 2
Junk_dealer, 2
Aide, 2
Jedi_youngling, 2
Sebulba, 2
Baron, 2
Senate_Commando, 2
Cadet, 2
Ruling_Council_(New_Mandalorians), 2
DDM-38, 2
Cord%C3%A9, 2
Myles_Grint, 2
Kallus, 2
Aang, 2
Mina_Bonteri, 2
Unidentified_Jedi_(Vyndal), 2
Hera_Syndulla, 2
Halle_Burtoni, 2
Piers_Roddance, 2
Palo_Jemabie, 2
Agent, 2
Papanoida, 2
Nazhros_Oleg, 2
Deputy_Minister, 2
Gall_Trayvis, 2
Merei_Spanjaf, 2
Yeleb, 2
Dhara_Leonis, 2
Commandant, 2
Brendol_Hux, 2
Tseebo, 2
Tepha_Leonis, 2
Rae_Sloane, 2
Zare_Leonis, 2
Sixth_Brother, 2
Scavenger/Legends, 2
Maketh_Tua, 2
Grand_Inquisitor, 2
Cumberlayne_Aresko, 2
Jai_Kell, 2
Unkar_Plutt, 2
Eighth_Brother, 2
Fife, 2
Rook_Kast, 2
Marg_Krim, 2
Pyke_Syndicate/Legends, 2
Shaak_Ti/Legends, 2
Ziton_Moj, 2
Droideka/Legends, 2
Droideka_Sentinel, 2
Droideka_Oppressor, 2
Rig_Nema/Legends, 2
L%27ulo, 2
Kado_Oquon%C3%A9, 2
B2_grapple_droid, 2
Argyus, 2
B2-RP_battle_droid, 2
Dunstig_Pterro, 2
Arakyd_Industries, 2
Captain/Legends, 2
Lunker, 2
Security_droid, 2
Battle_droid/Legends, 2
Slavin, 2
Sharpshooter_droideka, 2
B1_grapple_droid, 2
Droid/Legends, 2
Kalani_(super_tactical_droid), 2
B2_super_battle_droid, 2
OOM_pilot_battle_droid, 2
OOM_command_battle_droid, 2
Holowan_Laboratories, 2
Larry_Ward, 2
Oruba, 2
Black_Krrsantan, 2
Bantha, 2
Jabba_Desilijic_Tiure/Legends, 2
Declan_Mulholland, 2
Unidentified_translation_droid, 2
Ebor, 2
Golas_Aram, 2
TC-70, 2
Aggadeen, 2
Max_Rebo_Band, 2
GNK-series_power_droid, 2
Gamorrean, 2
Gial_Ackbar, 2
Desilijic, 2
Oola, 2
I-7, 2
Chancellor_(Rebel_Alliance), 2
Crymorah_syndicate, 2
Scout_trooper, 2
Finn, 2
Askajian, 2
Chief, 2
Pathfinders, 2
Boushh, 2
Kirratha, 2
Yarna_d%27al%27_Gargan, 2
Sinjir_Rath_Velus, 2
RA-7_protocol_droid, 2
Kai_(Imperial), 2
Sistros, 2
Phantom_Squadron_(New_Republic), 2
Finis_Valorum/Legends, 2
Chirpa, 2
Kalpana, 2
Alecia_Beck, 2
Bail_Antilles, 2
Captivator%27s_crew, 2
House_Valorum, 2
BB-8, 2
Corellian, 2
Administrator, 2
Loyalty_officer, 2
Life_debt, 2
Naveela_Betuine, 2
Dogma, 2
Dashira_Dobeq, 2
CT-00-2010, 2
Espaa_Valorum, 2
CT-6116, 2
CT-5555/Legends, 2
Bric, 2
Carise_Sindian, 2
CT-782, 2
Kaeden_Larte, 2
99, 2
Philo, 2
Clone_shock_trooper, 2
C1-10P, 2
CC-1010, 2
El-Les, 2
Jyn_Erso, 2
Hardcase, 2
Tamsin, 2
Klik-Klak, 2
CT-4040, 2
Unidentified_Black_Sun_agent, 2
Mina_Bonteri%27s_husband, 2
Bail_Prestor_Organa, 2
0-0-0, 2
House_of_Organa, 2
Grand_General, 2
Zett_Jukassa, 2
J-type_327_Nubian_royal_starship, 2
Consort, 2
Palpatine, 2
Evaan_Verlaine, 2
Cham_Syndulla, 2
Quarrie, 2
Moff, 2
Chardri_Tage, 2
Cassio_Tagge, 2
Raymus_Antilles, 2
Emperor%27s_Royal_Guard, 2
Imperial_officer, 2
Belkor_Dray, 2
Darth/Legends, 2
Sosha_Soruna, 2
Arihnda_Pryce, 2
Rinnrivin_Di%27s_cartel, 2
Shizu, 2
Boonta_Hestilic_Shad%27ruu, 2
Panaka, 2
Gorga_Desilijic_Aarrpo, 2
Nyarla, 2
Sutha, 2
Splugorra, 2
Kajidic, 2
Marlo, 2
Hutt/Legends, 2
Arok, 2
Nashi, 2
Niima, 2
Jedi_Temple_Guard/Legends, 2
Aks_Moe, 2
Rune_Haako, 2
Theed_power_generator, 2
Ambassador, 2
Governor_of_Naboo, 2
Gungan_Grand_Army, 2
DRK-1_probe, 2
OOM-9, 2
Bravo_Flight, 2
Naboo_(people), 2
Tey_How, 2
Invasion_of_Naboo/Legends, 2
Bombad_General, 2
Ric_Oli%C3%A9, 2
Theed_Royal_Palace, 2
Daultay_Dofine, 2
Sio_Bibble, 2
Naboo_Royal_Space_Fighter_Corps, 2
TC-14, 2
Alora_(child), 2
Garazeb_Orrelios, 2
Brother/Sister_(Inquisitor), 2
Sabine_Wren, 2
ID9_seeker_droid, 2
Kassius_Konstantine, 2
Kage_Warriors, 2
Sammo_Quid, 2
Dark_Side_Adept, 2
Tai_Uzuma, 2
CC-10/994, 2
Depa_Billaba/Legends, 2
Big-Mouth, 2
Fenn_Rau, 2
Sar_Labooda, 2
CT-1157, 2
Skull_Squadron, 2
Styles, 2
Chalactan, 2
Otua_Blank, 2
Dengar, 2
Boba_Fett%27s_syndicate, 2
Sumdin, 2
Asajj_Ventress/Legends, 2
Octuptarra_combat_tri-droid, 2
Rang_Clan, 2
Selection, 2
C-21_Highsinger, 2
Merchant, 2
4-A7, 2
Naa%27leth, 2
Hal%27Sted, 2
TJ-912/Canon, 2
Droid_brain, 2
Lorth_Needa, 2
Warlord, 2
Cassian_Jeron_Andor, 2
Jiro_(pirate), 2
Narrin, 2
TJ-55, 2
Brunson, 2
327-T, 2
Edmos_Khurgee, 2
Lennox, 2
Colton_(Alderaan), 2
Taggart_(Senate_Guard), 2
Vult_Skerris, 2
Officer, 2
Kiffar, 2
Luminara_Unduli/Legends, 2
Karis, 2
Ratch/Canon, 2
Ky_Narec, 2
Halsey/Legends, 2
Probe_droid, 2
Son/Legends, 2
Shaman, 2
Anakin_Skywalker/Legends, 2
Ulic_Qel-Droma, 2
Feral, 2
Han_Solo/Legends, 2
Blood_Bone_Order, 2
CT-7567/Legends, 2
Asajj_Ventress%27s_mother, 2
Architect_droid/Legends, 2
T%27un, 2
Major, 2
Saw_Gerrera/Legends, 2
224, 2
The_Children, 2
Embo/Legends, 2
Fae_Coven, 2
Aiolin_Astarte, 2
Granta_Omega, 2
Pell_Baylo, 2
Len_Markus, 2
Julia, 2
Rell_(Dathomir), 2
Pistoeka_sabotage_droid, 2
Tash_Arranda, 2
Ian_Abercrombie, 2
CC-3636/Legends, 2
Grohto, 2
11-4D, 2
Whie_Malreaux, 2
Narmn, 2
Denin, 2
Drua, 2
Byph/Legends, 2
Nute_Gunray/Legends, 2
Isval, 2
Riff_Tamson/Legends, 2
Stass_Allie/Legends, 2
Marjorie_Eaton, 2
Supreme_Chancellor/Legends, 2
B2_super_battle_droid/Legends, 2
Ore-duke, 2
Alaric_(Sephi), 2
Colandrus, 2
Tieren_Nie-Tan, 2
Naare, 2
Eeth_Koth/Legends, 2
Jylia_Shale, 2
Ramsis_Dendup/Legends, 2
Erstin_Deez, 2
Darth_Maul/Legends, 2
Tulon_Voidgazer, 2
Galactic_Emperor/Legends, 2
Rowan_Freemaker, 2
Senator/Legends, 2
Delian_Mors, 2
Colonel, 2
Freemakers, 2
Katuunko/Legends, 2
Orn_Free_Taa, 2
CC-1004/Legends, 2
Dark_Lord_of_the_Sith/Legends, 2
Singing_Mountain_Clan, 2
Cloning/Legends, 2
Wat_Tambor/Legends, 2
Scientist/Canon, 2
Theed/Legends, 2
Stormtrooper_(First_Order), 2
Rotta/Legends, 2
Clawdite/Legends, 2
Grand_Master/Legends, 2
Wullf_Yularen/Legends, 2
Imperial_cadet, 2
Byrch_Dyshkava, 2
Inquisitorius/Legends, 2
Dexter_Jettster/Legends, 2
Festival_of_Light/Legends, 2
Atlatl, 2
Sifo-Dyas/Legends, 2
Gian_speeder, 2
Confederacy_of_Independent_Systems/Legends, 2
Gungan_Sacred_Place, 2
Kaadu, 2
Battle_of_Naboo/Legends, 2
Falumpaset, 2
Arven_Wendik, 2
Theed_Hangar, 2
Spelunker_probe_droid, 2
Moralo_Eval/Legends, 2
Flash_speeder, 2
Beldorion, 2
Tyvokka, 2
Porro_Dolphe, 2
Shmi_Skywalker_Lars/Legends, 2
Booma, 2
Dine%C3%A9_Ellberger, 2
Coleman_Trebor/Legends, 2
Rya_Kirsch, 2
Jedi_Watchman, 2
Cesta/Canon, 2
Dark_Jedi/Legends, 2
Richard_Marquand, 2
Thadl%C3%A9_Berenko, 2
Gungan_High_Council, 2
Caves_of_Eleuabad, 2
Clone_SCUBA_trooper, 2
Lake_Country, 2
Lee-Char, 2
Theed_Hangar/Canon, 2
Keren, 2
Lake_Paonga, 2
Varykino, 2
Dee%27ja_Peak, 2
Cambylictus_tree, 2
Naboo/Legends, 2
Corona_Squadron, 2
Ikrit, 2
Nomi_Sunrider, 2
Palleus_Chuff, 2
General/Legends, 2
Yarael_Poof/Legends, 2
C-3PO/Legends, 2
Aing-Tii, 2
Dooku/Legends, 2
Father_(Mortis)/Legends, 2
Petro/Legends, 2
Jawa/Legends, 2
Vandar_Tokare, 2
Sanjay_Rash/Legends, 2
Galactic_Empire/Legends, 2
Queen/Legends, 2
Jai_Maruk, 2
Decca_Besadii_Diori, 2
Hondo_Ohnaka/Legends, 2
X%27Ting, 2
Unidentified_clone_swamp_trooper, 2
Gallo_Mountains, 2
Jango_Fett/Legends, 2
Naboo_lettuce, 2
Twazzi/Legends, 2
Solleu_River, 2
Nightsisters/Legends, 2
Lyonie, 2
Leia_Organa_Solo, 2
Yendor, 2
Faro_Argyus, 2
Rish_Loo, 2
Wilhuff_Tarkin/Legends, 2
Cin_Drallig/Legends, 2
Jan-gwa_city/Canon, 2
Jude_Rozess, 2
Eastern_swamps, 2
Soon_Bayts, 2
Roshti/Legends, 2
Perlote_tree, 2
Jar_Jar_Binks/Legends, 2
Clone_trooper_commander, 2
Savage_Opress/Legends, 2
Roo-Roo_Page/Canon, 2
Maks_Leem, 2
Ankura, 2
Jax_Pavan, 2
224/Legends, 2
Gungan/Legends, 2
Judd, 2
Gunganese, 2
Tholme/Legends, 2
Haillu, 2
Aayla_Secura/Legends, 2
Kharrus/Legends, 2
Otolla, 2
Nightbrothers/Legends, 2
Argullian, 2
Padawan/Legends, 2
Huulik, 2
Clone_trooper/Legends, 2
Jedi_Knight/Legends, 2
B2-HA_series_super_battle_droid, 2
Bultar_Swan, 2
Count_of_Serenno, 2
Ord_Enisence, 2
Zak_Arranda, 2
Luke_Skywalker/Legends, 2
Que-Mars_Redath-Gom, 2
Sexes/Legends, 2
Lyonie/Legends, 2
Brolis, 2
Toydarian_ministry_council, 2
Saesee_Tiin/Legends, 2
Bruu_Jun-Fan, 2
Agen_Kolar/Legends, 2
Viper_recon_droid, 2
Bolla_Ropal/Legends, 2
Gord_Grallik, 2
Arhul_Hextrophon/Legends, 2
Cikatro_Vizago, 2
Revan, 2
Galus_Vez, 2
AP-5, 2
Jumptrooper, 2
Oss_Wilum, 2
Phoenix_Squadron, 2
Jedi_Initiate, 2
Unidentified_alien_woman_(Vyndal), 2
Qu_Rahn, 2
Clan_Vizsla, 2
Thon, 2
Nadea_Tural, 2
Nahdar_Vebb/Legends, 2
Prince/Legends, 2
E-XD_infiltrator_droid, 2
Katooni/Legends, 2
Phoenix_Leader, 2
King/Legends, 2
Cad_Bane/Legends, 2
Bounty, 2
Lux_Bonteri/Legends, 2
2-1B_surgical_droid, 2
Ki-Adi-Mundi/Legends, 2
Gowski, 2
IG-227_Hailfire-class_droid_tank/Legends, 2
Mindiz, 2
Battle_of_Endor/Legends, 2
Mart_Mattin, 2
Master_of_the_Order/Legends, 2
Unidentified_Imperial_cargo_ship_captain, 2
Galen_Marek, 2
Mandalorian, 2
Adi_Gallia/Legends, 2
Dron_Ryall, 2
Ahsoka_Tano/Legends, 2
MaDall, 2
Quinlan_Vos/Legends, 2
Gar_Saxon, 2
Tallisibeth_Enwandung-Esterhazy, 2
Chief_of_Security/Canon, 2
Thame_Cerulian, 2
N%27Kata_Del_Gormo, 2
Tristan_Wren, 2
Bounty_hunter/Legends, 2
Skelly, 2
CC-4477, 2
Oppo_Rancisis/Legends, 2
Dicer, 2
Rurrk_Ca%27rivv, 2
Charko, 2
Roan_Novachez, 2
Imperial_communication_droid, 2
Gungi/Legends, 2
Ephraim_Bridger, 2
Rahm_Kota, 2
Jocasta_Nu/Legends, 2
Cato_Parasitti/Legends, 2
Ganodi/Legends, 2
Huyang/Legends, 2
Vila, 2
Imperial_sentry_droid, 2
Knox/Legends, 2
Amda_Wabo, 2
Yaddle/Legends, 2
Grand_Admiral, 2
Tarfful/Legends, 2
Melch, 2
R2-D2/Legends, 2
Kitwarr, 2
Mace_Windu/Legends, 2
Gregar_Typho/Legends, 2
Phoenix_Leader_(Ibaar), 2
Xanatos, 2
Ryder_Azadi, 2
Aleena/Legends, 2
Lal_Grallik, 2
Etain_Tur-Mukan, 2
Yogar_Lyste, 2
Yoda%27s_kybuck, 2
Coleman_Kcaj/Legends, 2
Okadiah_Garson, 2
Jorj_Car%27das, 2
Devaronian, 2
Cyrus_(Jedi_Academy), 2
T%C3%A1pusk, 2
Jedi_Consular, 2
Alderaanian, 2
Salmara, 2
Gobi_Glie, 2
ARC-77, 2
Ketsu_Onyo, 2
Gial_Ackbar/Legends, 2
Rake_Gahree, 2
Qui-Gon_Jinn/Legends, 2
Thrawn, 2
Daughter/Legends, 2
R3-A3, 2
Sith_Lord/Legends, 2
EXD-9, 2
Jedi_Battlemaster, 2
Unidentified_alien_boy_(Vyndal), 2
Kit_Fisto/Legends, 2
Micah_Giiett, 2
Corporal, 2
Nuvo_Vindi/Legends, 2
Yelkin, 2
Even_Piell/Legends, 2
B1-268, 2
Starkiller_(clone), 2
IG-RM_bodyguard_and_enforcer_droid, 2
Marida_Sumar, 2
Binary, 2
Pilf_Mukmuk, 2
Inventory_droid, 2
Separatist_Congress_Leader, 2
Chava, 2
Gooti_Terez, 2
Earll, 2
Ansibella_Delu, 2
Fissol, 2
Kraken/Legends, 2
Tour_guide_droid, 2
Derek_Klivian, 2
TA-175, 2
Mira_Bridger, 2
Jonner_Jin, 2
Ambulatory_strut, 2
Bendu, 2
Phoenix_Two, 2
HMP_droid_gunship, 2
Stormtrooper_commander, 2
Nossor_Ri, 2
CC-5576-39, 2
Kowakian_monkey-lizard, 2
Azmorigan, 2
Christopher_Lee, 2
Lok_Durd, 2
Darth_Bane%27s_apprentice, 2
Bec_Lawise, 2
Unidentified_false_Jedi, 2
Ashla_(Jedi), 2
Presence, 2
Sith_Lord_of_Gairm, 2
Jenneth_Pilar, 2
Chiss, 2
Courier_droid, 2
Advisor, 2
Gronson_Takkaro, 2
Jenkes, 2
LR-57_combat_droid, 2
Angrigo, 2
Dismantler_droid, 2
Kanjiklub, 2
Quiggold, 2
Beck_Ollet, 2
Dosmit_R%C3%A6h, 2
Imperial_combat_driver, 2
Cailey_Fleming, 2
Morad_Sumar, 2
Ivano_Troade, 2
Supply_Master, 2
Mashra, 2
Memory_core, 2
Refugee, 2
FN-1824, 2
Hera_Syndulla%27s_mother, 2
Tierfon_Yellow_Aces, 2
Maz_Kanata, 2
TIE_fighter_pilot, 2
Royal_family_(Lasan), 2
Devi_(scavenger), 2
Sidon_Ithano, 2
Teng_Malar, 2
Strunk, 2
Karina_the_Great_(Age_of_the_Empire), 2
Teedo_(Niima_Outpost), 2
R-series, 2
Bala-Tik, 2
Herdringer, 2
Valen_Rudor, 2
Jho, 2
Sith_apprentice/Legends, 2
Lieutenant_Commander, 2
EG-86, 2
Moreena_Krai%27s_grandmother, 2
Darth_Caedus, 2
Jaina_Solo_Fel, 2
Great_Time_of_Peace, 2
Manchucho, 2
Elder_Houses, 2
Ozz_(Ugnaught), 2
Scout, 2
Skywalker_(family), 2
Jafan, 2
Supreme_governor, 2
Chai_(king), 2
Guavian_security_soldier, 2
BT-1, 2
Mellowyn, 2
Grakchawwaa, 2
Dopheld_Mitaka, 2
Carrie_Fisher, 2
BB_unit, 2
Senate_Guard, 2
First_Order_officer, 2
Mara_Jade_Skywalker, 2
Lor_San_Tekka, 2
Master_of_the_Order, 2
Armitage_Hux, 2
Snoke, 2
Starfighter_Corps_(Resistance), 2
Talia_(Nightsister), 2
Dathomirian/Legends, 2
Medical_droid/Legends, 2
Shelish, 2
Mixer, 2
Redeye, 2
Industrial_Automaton, 2
Appo, 2
Everi_Chalis, 2
Aleena, 2
Ringo, 2
R8-B7/Canon, 2
Coruscant_Guard, 2
501st_Legion/Legends, 2
Zatt, 2
Kreel, 2
Ridge, 2
WAC-47, 2
K2-B4, 2
Clone_ordnance_specialist, 2
Hurron, 2
Charger, 2
Speaker_of_the_Assembly, 2
Jedi_Commander, 2
Restraining_bolt, 2
Preigo, 2
Stormtrooper_Corps, 2
HELIOS-3E, 2
Clone_Sergeant, 2
Terrorist, 2
Borkus, 2
Salacious_B._Crumb, 2
Todo_360, 2
Bardottan, 2
Bothan, 2
RX-24, 2
DUM-series_pit_droid, 2
Aqualish, 2
Christo, 2
Ask_Aak, 2
Hay-Zu, 2
Erudo_Ro-Kiintor, 2
Tai-Lin_Garr, 2
Ganodi, 2
BNI-393, 2
Tynnra_Pamlo, 2
Assassin_probe, 2
Zinn_Paulness, 2
Kenny_Baker, 2
First_Senator, 2
Biggs_Darklighter, 2
Ransolm_Casterfo, 2
Rocket_booster, 2
Junior_senator, 2
QT-KT, 2
Punn_Rimbaud, 2
Voe_Atell, 2
Dug, 2
Dantum_Roohd, 2
R2_series_astromech_droid, 2
Kerch_Kushi, 2
Meebur_Gascon, 2
